metric_name,dimension,label
awv_completion_rate_analytics,medicare_category,Medicare Category
awv_completion_rate_analytics,primary_payor,Primary Payor
awv_completion_rate_analytics,primary_product_type,Primary Product Type
awv_completion_rate_analytics,provider_id,Primary Provider ID
awv_completion_rate_analytics,provider_name,Primary Provider
awv_completion_rate_analytics,sf_mddo_status,SF MDDO Status
awv_eligible,is_currently_on_roster,On Roster?
awv_eligible,is_truly_lost,Truly Lost?
awv_eligible,is_voluntary,Voluntary Attributed?
awv_eligible,mdm_payor_brand,MDM Payor Brand
awv_eligible,mdm_payor_category,MDM Payor Category
awv_eligible,off_cadence_active,Off Cadence?
awv_eligible,operational_segment,Operational Segment
awv_eligible,population_segment,Population Segment
awv_eligible,preferred_clinic,Clinic
awv_eligible,primary_attributed_payor,Primary Attributed Payor
awv_eligible_count,attribution_status,Attribution Status
awv_eligible_count,clinic,Clinic
awv_eligible_count,is_active_patient,Active Patient?
awv_eligible_count,membership_enrollment,Membership Enrollment
awv_eligible_count,primary_payor,Primary Payor
awv_eligible_count,risk_tier,Risk Tier
awv_gap_count,analytics_awv_ytd_status,AWV YTD Status
awv_gap_count,attributed_payor,Attributed Payor
awv_gap_count,attribution_status,Attribution Status
awv_gap_count,awv_eligibility_source,AWV Eligibility Source
awv_gap_count,clinic,Clinic
awv_gap_count,is_active_patient,Active Patient?
awv_gap_count,is_analytics_awv_eligible,AWV Eligible?
awv_gap_count,medicare_category,Medicare Category
awv_gap_count,primary_payor,Primary Payor
awv_gap_count,primary_product_type,Primary Product Type
awv_gap_count,provider_id,Primary Provider ID
awv_gap_count,provider_name,Primary Provider
awv_gap_count,sf_mddo_status,SF MDDO Status
awv_scheduled,is_currently_on_roster,On Roster?
awv_scheduled,is_truly_lost,Truly Lost?
awv_scheduled,is_voluntary,Voluntary Attributed?
awv_scheduled,mdm_payor_brand,MDM Payor Brand
awv_scheduled,mdm_payor_category,MDM Payor Category
awv_scheduled,off_cadence_active,Off Cadence?
awv_scheduled,operational_segment,Operational Segment
awv_scheduled,population_segment,Population Segment
awv_scheduled,preferred_clinic,Clinic
awv_scheduled,primary_attributed_payor,Primary Attributed Payor
awv_scheduled_count,attribution_status,Attribution Status
awv_scheduled_count,clinic,Clinic
awv_scheduled_count,is_active_patient,Active Patient?
